model,split,class,rmse_mean,rmse_std,n_seeds,rmse_str
elasticnet,random,gpcr_aminergic,1.2645173892328767,0.0,5,1.265 +/- 0.000
elasticnet,scaffold,gpcr_aminergic,1.3131349007443385,0.0,5,1.313 +/- 0.000
elasticnet,target,gpcr_aminergic,1.3037817548412023,0.0,5,1.304 +/- 0.000
esm_fp_mlp,random,gpcr_aminergic,0.6392496251879336,0.0033597818491311123,5,0.639 +/- 0.003
esm_fp_mlp,random,kinase,0.777,0.002645751311064593,3,0.777 +/- 0.003
esm_fp_mlp,scaffold,gpcr_aminergic,0.9513996395670296,0.0038152237751129118,5,0.951 +/- 0.004
esm_fp_mlp,scaffold,kinase,0.9024000000000001,0.004393176527297769,5,0.902 +/- 0.004
esm_fp_mlp,target,gpcr_aminergic,1.2940159075962434,0.13660935289718737,5,1.294 +/- 0.137
esm_fp_mlp,target,kinase,1.1798,0.015122830422906996,5,1.180 +/- 0.015
fusion,random,gpcr_aminergic,0.7035725256029153,0.009268370464870524,5,0.704 +/- 0.009
fusion,scaffold,gpcr_aminergic,0.998474386792806,0.005078333097049143,5,0.998 +/- 0.005
fusion,scaffold,kinase,0.941,,1,0.941 +/- nan
fusion,target,gpcr_aminergic,1.1451272982308498,0.055308534198971256,5,1.145 +/- 0.055
fusion,target,kinase,1.1956,0.030492622058458773,5,1.196 +/- 0.030
gnn,random,gpcr_aminergic,0.9319529592579876,0.004417565689046015,5,0.932 +/- 0.004
gnn,scaffold,gpcr_aminergic,1.077518034231042,0.0067348624153236525,5,1.078 +/- 0.007
gnn,scaffold,kinase,0.945,0.007071067811865481,2,0.945 +/- 0.007
gnn,target,gpcr_aminergic,1.1439421805835808,0.03920819042459439,5,1.144 +/- 0.039
gnn,target,kinase,1.1774,0.03170646621747686,5,1.177 +/- 0.032
mlp,random,gpcr_aminergic,0.977518181010935,0.004029699143456219,5,0.978 +/- 0.004
mlp,scaffold,gpcr_aminergic,1.1331562217240707,0.00849352248128001,5,1.133 +/- 0.008
mlp,target,gpcr_aminergic,1.0885976251229637,0.015321855575010344,5,1.089 +/- 0.015
random_forest,random,gpcr_aminergic,0.9410156218169696,0.000313126482119866,5,0.941 +/- 0.000
random_forest,scaffold,gpcr_aminergic,1.0618860002594463,0.0004363680180296888,5,1.062 +/- 0.000
random_forest,target,gpcr_aminergic,1.011444424104674,0.0015193066565381387,5,1.011 +/- 0.002
xgboost,random,gpcr_aminergic,0.9468949265729167,0.002093113105231807,5,0.947 +/- 0.002
xgboost,scaffold,gpcr_aminergic,1.0775742147500127,0.003075366187950313,5,1.078 +/- 0.003
xgboost,target,gpcr_aminergic,1.0341533911625125,0.005507976712112847,5,1.034 +/- 0.006
