direction,metric,n_obs,n_kinase,n_gpcr,r_squared,intercept,slope_kinase,slope_kinase_p,slope_kinase_ci_low,slope_kinase_ci_high,slope_gpcr,slope_gpcr_p,slope_gpcr_ci_low,slope_gpcr_ci_high,interaction_p
delta_random_to_scaffold,n_scaffolds,235,199,36,0.004070246333364391,0.12919855851989867,-9.052838927999402e-06,0.5731048071250157,-4.066196337963149e-05,2.2556285523632683e-05,4.836122281275121e-06,0.9010892139993539,-7.174626118312432e-05,8.141850574567456e-05,0.7414714931061054
delta_random_to_scaffold,scaffold_entropy,235,199,36,0.04138978066568966,-0.3566388631696536,-0.007514121430589341,0.5401856390586987,-0.03164826721400385,0.016620024352825166,0.08590667121686081,0.0030536581111698996,0.02937203510739165,0.14244130732632998,0.003049376958840263
delta_random_to_scaffold,largest_cluster_fraction,235,199,36,0.09117465389417057,0.27162778833670836,0.2051579315841776,0.17843642316981245,-0.09433288230646941,0.5046487454748246,-2.707519108268066,8.747106124979873e-06,-3.8804821607391005,-1.5345560557970317,3.7291490484356803e-06
delta_random_to_scaffold,mean_tanimoto,235,199,36,0.030615447388972483,0.45014904943549255,-0.03733130708241017,0.8682311111634927,-0.48018285067003524,0.4055202365052149,-1.9067396315239444,0.010587521919883965,-3.364553248480428,-0.44892601456746073,0.016403549306870293
delta_random_to_scaffold,activity_cliff_frequency,235,199,36,0.010172230238206792,0.12889052385090907,-6.585946592578457,0.19820039314166496,-16.641865359662262,3.469972174505349,14.61784085660087,0.7583625358452512,-78.89405715695054,108.12973887015227,0.6573132892157899
delta_scaffold_to_target,n_scaffolds,29,24,5,0.0640629783004395,-0.03321834197125095,-7.729060462792057e-07,0.9932409850735119,-0.00018681275855633367,0.00018526694646377528,-1.4450839420580789e-05,0.9545400600188341,-0.0005313227050469364,0.0005024210262057747,0.9595093601403901
delta_scaffold_to_target,scaffold_entropy,29,24,5,0.1200023041814623,0.1420868598810852,-0.061500284843873355,0.23621153827633673,-0.16586228496587965,0.04286171527813295,-0.03351485332799295,0.7321781184037349,-0.2329632459762235,0.1659335393202376,0.8000087280983008
delta_scaffold_to_target,largest_cluster_fraction,29,24,5,0.11056115877522099,-0.0963710974331217,1.0815231140986277,0.3109990034889102,-1.0725069346728127,3.235553162870068,0.8991703256395194,0.6276259774015758,-2.8715559302092766,4.669896581488315,0.9317712287811398
delta_scaffold_to_target,mean_tanimoto,29,24,5,0.4378755458034784,-0.17499239795212548,2.30937576338042,0.00048269990687318447,1.1233217495353516,3.495429777225488,0.7632254024765796,0.4654803566772926,-1.357524962441122,2.883975767394281,0.2019391848524981
delta_scaffold_to_target,activity_cliff_frequency,29,24,5,0.10689947341993666,-0.037240893720728196,46.05995621579425,0.2840641183271111,-40.592461662693914,132.7123740942824,-13.715251473247365,0.9489592118999018,-450.57293852908975,423.14243558259506,0.7844970049813885
